PMCTS,MCTS,AB,Playouts,Language,,,,,,,
0.1007075,0.08978533,0.02292845,1,Julia,,,,,,,
0.1021842,0.08991885,0.02340022,1,Julia,,,,,,,
0.09980585,0.0903513,0.02443552,1,Julia,,,,,,,
0.1013974,0.09014331,0.02312278,1,Julia,,,,,,,
0.10205,0.08947559,0.02455776,1,Julia,,,,,,,
0.1004089,0.08784867,0.0256722,1,Julia,,,,,,,
0.1003299,0.08969997,0.02283522,1,Julia,,,,,,,
0.1001778,0.08856464,0.02282345,1,Julia,,,,,,,
0.1013115,0.08905106,0.0239709,1,Julia,,,,,,,
0.100411,0.09018021,0.02362462,1,Julia,,,,,,,
0.1019289,0.08841138,0.02284586,1,Julia,,,,,,,
0.1010638,0.08888732,0.02237637,1,Julia,,,,,,,
0.1024895,0.09041617,0.02137107,1,Julia,,,,,,,
0.1010359,0.08952842,0.02436311,1,Julia,,,,,,,
0.1005502,0.08884218,0.02256307,1,Julia,,,,,,,
0.1004186,0.08809359,0.02696248,1,Julia,,,,,,,
0.1016082,0.08854134,0.02241093,1,Julia,,,,,,,
0.1011919,0.08934919,0.02342029,1,Julia,,,,,,,
0.09983613,0.09007999,0.02207161,1,Julia,,,,,,,
0.1018457,0.09054306,0.02378638,1,Julia,,,,,,,
0.1015017,0.09034446,0.02371961,1,Julia,,,,,,,
0.1012878,0.08888532,0.02449806,1,Julia,,,,,,,
0.1017467,0.08980766,0.02394322,1,Julia,,,,,,,
0.09981378,0.09045736,0.02422403,1,Julia,,,,,,,
0.1011388,0.08962368,0.02374033,1,Julia,,,,,,,
0.1011585,0.08898159,0.02350117,1,Julia,,,,,,,
0.1040522,0.08933717,0.023791,10,Julia,,,,,,,
0.1438534,0.1423908,37.79252,10,Julia,,,,,,,
0.1412653,0.1430086,46.41621,10,Julia,,,,,,,
0.141534,0.1433101,65.77216,10,Julia,,,,,,,
0.1426461,0.1445179,61.49001,10,Julia,,,,,,,
0.1436366,0.1412687,48.20223,10,Julia,,,,,,,
0.141739,0.1438744,57.11699,10,Julia,,,,,,,
0.1419887,0.1422493,41.67104,10,Julia,,,,,,,
0.1421989,0.1427762,45.39834,10,Julia,,,,,,,
0.1413714,0.144306,42.29006,10,Julia,,,,,,,
0.1423205,0.1430238,54.86775,10,Julia,,,,,,,
0.1421262,0.141396,66.86462,10,Julia,,,,,,,
0.1430299,0.14415,74.58645,10,Julia,,,,,,,
0.1426434,0.1408872,55.71446,10,Julia,,,,,,,
0.1439781,0.1425377,47.47537,10,Julia,,,,,,,
0.1453862,0.1421973,32.98058,10,Julia,,,,,,,
0.143476,0.1438051,40.90708,10,Julia,,,,,,,
0.1419771,0.1418956,56.44795,10,Julia,,,,,,,
0.1437879,0.1427449,32.80682,10,Julia,,,,,,,
0.1416081,0.1419934,64.55847,10,Julia,,,,,,,
0.143082,0.1447448,60.12783,10,Julia,,,,,,,
0.1430047,0.1433413,70.3145,10,Julia,,,,,,,
0.1428792,0.1446545,32.67385,10,Julia,,,,,,,
0.1411764,0.1421291,63.2521,10,Julia,,,,,,,
0.1433694,0.1408856,57.48919,10,Julia,,,,,,,
0.1419894,0.142044,48.74698,10,Julia,,,,,,,
0.1408727,0.1434083,59.29338,10,Julia,,,,,,,
0.1416049,0.1422277,46.61708,10,Julia,,,,,,,
0.1407026,0.1417586,51.82239,10,Julia,,,,,,,
0.1432956,0.1435511,58.41015,10,Julia,,,,,,,
0.142085,0.1429587,47.81172,10,Julia,,,,,,,
0.1428603,0.1443911,43.68528,10,Julia,,,,,,,
0.1448569,0.1427588,64.7527,10,Julia,,,,,,,
0.1423175,0.1424481,40.9166,10,Julia,,,,,,,
0.1432395,0.1437797,54.32186,10,Julia,,,,,,,
0.1405251,0.1426779,66.74171,10,Julia,,,,,,,
0.1435755,0.1430344,48.38995,10,Julia,,,,,,,
0.1428615,0.1430613,55.7043,10,Julia,,,,,,,
0.1444783,0.1415845,42.57672,10,Julia,,,,,,,
0.1429631,0.1426082,42.37391,10,Julia,,,,,,,
0.143135,0.1432089,57.43891,10,Julia,,,,,,,
0.1422193,0.1435207,59.96019,10,Julia,,,,,,,
0.1423772,0.14203,52.61353,10,Julia,,,,,,,
0.1434,0.1433054,65.48934,10,Julia,,,,,,,
0.1418321,0.142979,72.98038,10,Julia,,,,,,,
0.1436062,0.1429405,59.74374,10,Julia,,,,,,,
0.1414232,0.1422804,46.66447,10,Julia,,,,,,,
0.1428744,0.1432389,42.7927,10,Julia,,,,,,,
0.1431746,0.1423816,39.2862,10,Julia,,,,,,,
0.1429556,0.1427967,55.91173,10,Julia,,,,,,,
0.1418673,0.6867047,93.58733,100,Julia,,,,,,,
