PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
NA,NA,0.017573195,7.23E-05,0.000973267,NA,NA,MC,1,Julia
NA,NA,0.017991806,7.47E-05,0.000846698,NA,NA,MC,1,Julia
NA,NA,0.017634732,7.06E-05,0.000876938,NA,NA,MC,1,Julia
NA,NA,0.017661251,7.34E-05,0.000968308,NA,NA,MC,1,Julia
NA,NA,0.017252386,6.92E-05,0.000967179,NA,NA,MC,1,Julia
NA,NA,0.018982361,8.64E-05,0.000756987,NA,NA,MC,1,Julia
NA,NA,0.018620874,8.26E-05,0.000784022,NA,NA,MC,1,Julia
NA,NA,0.020552906,9.29E-05,0.00116359,NA,NA,MC,1,Julia
NA,NA,0.020290775,8.96E-05,0.001166659,NA,NA,AB,1,Julia
NA,NA,0.021028231,9.01E-05,0.001239777,NA,NA,AB,1,Julia
NA,NA,0.02067061,8.60E-05,0.001245558,NA,NA,AB,1,Julia
NA,NA,0.01713442,7.30E-05,0.000905119,NA,NA,AB,1,Julia
NA,NA,0.016746564,6.89E-05,0.000897024,NA,NA,AB,1,Julia
NA,NA,0.018714502,7.64E-05,0.000931871,NA,NA,AB,1,Julia
NA,NA,0.018366141,7.24E-05,0.000929415,NA,NA,AB,1,Julia
NA,NA,0.017162718,7.22E-05,0.000723477,NA,NA,AB,1,Julia
NA,NA,0.01673712,6.76E-05,0.000713604,NA,NA,MC,1,Julia
NA,NA,0.017381043,7.27E-05,0.000728336,NA,NA,AB,1,Julia
NA,NA,0.016998223,6.84E-05,0.000718653,NA,NA,AB,1,Julia
NA,NA,0.017183123,7.32E-05,0.000753493,NA,NA,MC,1,Julia
NA,NA,0.016796853,6.91E-05,0.000780404,NA,NA,AB,1,Julia
NA,NA,0.0177604,7.42E-05,0.000759898,NA,NA,AB,1,Julia
NA,NA,0.017395224,7.01E-05,0.000787037,NA,NA,AB,1,Julia
NA,NA,0.017989183,7.50E-05,0.000819502,NA,NA,MC,1,Julia
NA,NA,0.017631701,7.09E-05,0.000813067,NA,NA,AB,1,Julia
NA,NA,0.01733562,7.39E-05,0.000862138,NA,NA,MC,1,Julia
NA,NA,0.016954618,6.98E-05,0.000857217,NA,NA,MC,1,Julia
NA,NA,0.017030091,7.19E-05,0.000990062,NA,NA,MC,1,Julia
NA,NA,0.016552329,6.74E-05,0.00098965,NA,NA,MC,1,Julia
NA,NA,0.017635609,7.44E-05,0.000973068,NA,NA,AB,1,Julia
NA,NA,0.017158449,6.97E-05,0.000972186,NA,NA,AB,1,Julia
NA,NA,0.017591961,7.66E-05,0.001007458,NA,NA,AB,1,Julia
NA,NA,0.017113362,7.24E-05,0.00100685,NA,NA,AB,1,Julia
NA,NA,0.017091513,7.21E-05,0.000964526,NA,NA,AB,1,Julia
NA,NA,0.016654994,6.78E-05,0.000963134,NA,NA,AB,1,Julia
0.106262056,0.000389412,0.137956019,0.000536359,NA,MC,NA,NA,1,Python
0.106262056,0.000389412,0.137956019,0.000536359,NA,MC,NA,NA,1,Python
0.114924844,0.000371608,0.142096593,0.000519373,NA,MC,NA,NA,1,Python
0.114924844,0.000371608,0.142096593,0.000519373,NA,MC,NA,NA,1,Python
0.116711912,0.000379723,0.150993232,0.000508016,NA,MC,NA,NA,1,Python
0.116711912,0.000379723,0.150993232,0.000508016,NA,PMC,NA,NA,1,Python
0.078805259,0.000364574,0.115656795,0.000455845,NA,MC,NA,NA,1,Python
0.078805259,0.000364574,0.115656795,0.000455845,NA,PMC,NA,NA,1,Python
0.120304474,0.00038162,0.158501165,0.000523574,NA,MC,NA,NA,1,Python
0.120304474,0.00038162,0.158501165,0.000523574,NA,MC,NA,NA,1,Python
0.118298531,0.000412995,0.126688412,0.000593448,NA,MC,NA,NA,1,Python
0.118298531,0.000412995,0.126688412,0.000593448,NA,PMC,NA,NA,1,Python
0.118298531,0.000412995,0.126688412,0.000593448,NA,MC,NA,NA,1,Python
0.152969599,0.000471067,0.091350868,0.000732737,NA,PMC,NA,NA,1,Python
0.152969599,0.000471067,0.091350868,0.000732737,NA,MC,NA,NA,1,Python
0.150895516,0.000405417,0.141201504,0.000535368,NA,MC,NA,NA,1,Python
0.150895516,0.000405417,0.141201504,0.000535368,NA,MC,NA,NA,1,Python
0.132192953,0.000411375,0.165060117,0.000584555,NA,PMC,NA,NA,1,Python
0.132192953,0.000411375,0.165060117,0.000584555,NA,MC,NA,NA,1,Python
0.257840684,0.00089295,0.372070477,0.001132396,NA,MC,NA,NA,1,Python
0.257840684,0.00089295,0.372070477,0.001132396,NA,PMC,NA,NA,1,Python
0.331588268,0.000920187,0.197050386,0.001326475,NA,PMC,NA,NA,1,Python
0.331588268,0.000920187,0.197050386,0.001326475,NA,MC,NA,NA,1,Python
0.084775949,0.000385994,0.132042348,0.000529957,NA,MC,NA,NA,1,Python
0.084775949,0.000385994,0.132042348,0.000529957,NA,MC,NA,NA,1,Python
0.084775949,0.000385994,0.132042348,0.000529957,NA,MC,NA,NA,1,Python
0.084775949,0.000385994,0.132042348,0.000529957,NA,MC,NA,NA,1,Python
0.135800626,0.000391985,0.088867401,0.000506246,NA,MC,NA,NA,1,Python
0.135800626,0.000391985,0.088867401,0.000506246,NA,MC,NA,NA,1,Python
0.135800626,0.000391985,0.088867401,0.000506246,NA,MC,NA,NA,1,Python
0.132618526,0.000468686,0.176614647,0.000673517,NA,PMC,NA,NA,1,Python
0.132618526,0.000468686,0.176614647,0.000673517,NA,PMC,NA,NA,1,Python
0.134878576,0.000570749,0.211435844,0.000771961,NA,MC,NA,NA,1,Python
0.134878576,0.000570749,0.211435844,0.000771961,NA,MC,NA,NA,1,Python
0.18936209,0.000636637,0.235531994,0.000853374,NA,MC,NA,NA,1,Python
0.18936209,0.000636637,0.235531994,0.000853374,NA,PMC,NA,NA,1,Python
0.069235844,0.00047768,0.158606138,0.000696501,NA,MC,NA,NA,1,Python
0.069235844,0.00047768,0.158606138,0.000696501,NA,MC,NA,NA,1,Python
0.163881855,0.00049113,0.184567854,0.000649855,NA,MC,NA,NA,1,Python
0.163881855,0.00049113,0.184567854,0.000649855,NA,MC,NA,NA,1,Python
0.122567519,0.00040785,0.131679969,0.000583247,NA,MC,NA,NA,1,Python
0.122567519,0.00040785,0.131679969,0.000583247,NA,MC,NA,NA,1,Python
